2-He-4(n,elastic) ENDF/B-VII.1
1.0E-5,22.1008
1.31241E-5,19.2949
1.70876E-5,16.9132
2.2426E-5,14.7675
2.91987E-5,12.9465
3.83206E-5,11.3063
4.98935E-5,9.91449
6.54808E-5,8.66125
8.52562E-5,7.59821
1.11891E-4,6.64146
1.45682E-4,5.83043
1.91195E-4,5.1011
2.48937E-4,4.48351
3.26707E-4,3.9289
4.25373E-4,3.46013
5.58264E-4,3.04015
7.26861E-4,2.68626
9.53941E-4,2.37046
0.00124203,2.1057
0.00163006,1.87097
0.00212234,1.67581
0.00278538,1.50459
0.00398112,1.31993
0.00569018,1.1747
0.00813293,1.06276
0.0126596,0.961846
0.0198632,0.892417
0.0234661,0.873304
0.0253,0.865635
0.0474582,0.819616
0.126231,0.786766
0.826569,0.769996
20000.0,0.766327
150000.0,0.789773
250000.0,0.857837
325000.0,0.95899
387500.0,1.08549
462500.0,1.31529
512500.0,1.53016
562500.0,1.80843
625000.0,2.25658
700000.0,2.99348
787500.0,4.12825
950000.0,6.50471
1037500.0,7.34871
1125000.0,7.63543
1225000.0,7.39346
1600000.0,5.30668
1825000.0,4.44568
2075000.0,3.82158
2400000.0,3.31575
2800000.0,2.94361
3400000.0,2.62606
4500000.0,2.30441
7000000.0,1.83734
9800000.0,1.45331
1.25E7,1.18437
1.55E7,0.964474
1.85E7,0.804794
2.0E7,0.743625
