11-Na-23(n,elastic) ENDF/B-VII.1
1.0E-5,40.6568
1.31241E-5,35.5216
1.70876E-5,31.1663
2.2426E-5,27.247
2.91987E-5,23.9255
3.83206E-5,20.9393
4.98935E-5,18.4116
6.54808E-5,16.1428
8.52562E-5,14.2263
1.11891E-4,12.5106
1.45682E-4,11.0664
1.91195E-4,9.77933
2.48937E-4,8.70209
3.26707E-4,7.74908
4.25373E-4,6.95882
6.07982E-4,6.07439
8.68984E-4,5.37386
0.00124203,4.82908
0.00177523,4.4145
0.00278538,4.04045
0.00475955,3.75443
0.00972316,3.53847
0.0234661,3.40043
0.0253,3.39252
0.150913,3.28208
1.5382,3.18852
10.9776,3.1306
664.862,3.33709
958.95,3.64919
1154.1,4.02031
1337.12,4.59174
1482.69,5.27825
1617.56,6.20963
1718.61,7.28681
1831.52,9.09654
1925.6,11.2385
2010.28,13.9097
2085.55,17.1524
2160.81,21.6125
2226.67,26.9815
2283.12,33.2022
2339.57,41.5832
2396.03,53.117
2443.07,66.2812
2490.11,83.9127
2532.45,105.35
2574.79,133.814
2621.83,175.853
2672.64,235.611
2749.79,338.048
2787.42,371.188
2813.76,378.778
2851.4,365.036
2898.44,318.849
2986.88,216.596
3035.8,172.472
3092.25,134.368
3148.71,106.935
3205.16,87.0194
3271.02,70.254
3346.28,56.6576
3430.96,45.9172
3525.05,37.5608
3637.95,30.5913
3760.26,25.3654
3901.39,21.1368
4070.74,17.6413
4277.73,14.7467
4503.53,12.5871
4804.6,10.6545
5180.94,9.10276
5632.55,7.96876
6291.15,6.98967
7232.0,6.17159
8659.3,5.49449
10841.8,4.96156
14236.7,4.55664
20801.0,4.21104
35173.0,4.04335
35356.8,4.06695
35369.0,4.19741
35375.6,4.49939
35387.0,5.30587
35390.0,5.36745
35395.4,5.17638
35406.8,4.36073
35410.3,4.22002
35421.5,4.0735
38197.2,4.03758
40011.0,4.03952
43204.8,4.02322
47656.0,4.13542
49325.2,4.38848
50271.1,4.77991
50897.4,5.33927
51328.2,6.01995
51717.7,7.10733
51940.3,8.0636
52135.0,9.40676
52301.9,11.1478
52441.0,13.1031
52580.1,16.0806
52730.4,20.4748
53058.6,33.2148
53175.5,35.8377
53221.1,36.081
53309.0,35.1954
53425.9,31.8417
53709.6,21.2196
53859.9,16.9564
53999.0,14.0303
54165.9,11.5377
54360.6,9.58236
54555.4,8.27788
54833.6,7.10019
55167.4,6.18345
55612.5,5.47165
56391.5,4.83863
57448.6,4.39991
59340.4,4.07371
63235.2,3.85804
82152.8,3.64163
116437.0,3.45722
117222.0,3.49557
117324.0,3.61813
117354.0,3.78262
117373.0,4.08916
117385.0,4.5032
117395.0,5.09889
117410.0,6.48501
117421.0,7.50181
117430.0,7.77309
117438.0,7.50664
117451.0,6.34464
117464.0,5.14911
117473.0,4.51676
117485.0,4.0759
117504.0,3.75643
117532.0,3.59796
117627.0,3.48296
141289.0,3.35264
142387.0,3.3505
143045.0,3.38815
143083.0,3.49269
143112.0,3.85012
143129.0,3.98328
143147.0,3.81169
143170.0,3.49279
143199.0,3.37265
167940.0,3.29162
185110.0,3.38277
189968.0,3.55218
190016.0,3.66485
190058.0,3.96283
190060.0,3.96354
190093.0,3.74724
190129.0,3.582
190238.0,3.54889
193635.0,3.81907
195853.0,4.20663
197208.0,4.68145
198440.0,5.47775
199174.0,6.26516
200559.0,8.41585
201170.0,8.82581
201221.0,8.82886
201741.0,8.55642
203614.0,6.05124
204438.0,5.3478
205372.0,4.92603
206800.0,4.6579
207443.0,4.62549
207650.0,4.62623
208300.0,4.6103
213014.0,4.80479
213550.0,4.79727
213871.0,4.80047
217300.0,4.53414
222871.0,3.97362
227514.0,3.77487
227871.0,3.77332
230728.0,3.88089
232870.0,4.21394
234299.0,4.68828
235370.0,5.35388
236352.0,6.38509
236538.0,6.80277
236595.0,7.22364
236624.0,7.73662
236642.0,8.34151
236662.0,9.51
236696.0,11.8231
236710.0,12.1762
236724.0,11.8502
236767.0,9.04197
236787.0,8.19806
236818.0,7.57859
236879.0,7.23932
236923.0,7.19783
237338.0,7.74066
238675.0,10.0215
239264.0,10.3815
239906.0,9.97564
241083.0,8.11231
242327.0,6.06477
242716.0,5.72922
242803.0,5.94941
242861.0,6.4746
242924.0,7.55059
242996.0,8.94717
243046.0,9.40637
243062.0,9.44692
243151.0,9.07958
243324.0,7.92313
243530.0,7.06802
243860.0,6.23785
244387.0,5.5739
245276.0,4.90863
246759.0,4.32031
249230.0,3.84485
252952.0,3.49839
260598.0,3.19011
284047.0,2.72227
289552.0,2.46727
292407.0,2.18953
294140.0,1.89958
295363.0,1.56738
296587.0,1.19798
296893.0,1.16612
297097.0,1.19646
297250.0,1.27975
297402.0,1.43516
297555.0,1.69877
297683.0,2.02142
297836.0,2.55298
298027.0,3.44161
298442.0,5.68339
298646.0,6.4876
298860.0,6.94228
299212.0,7.27427
299266.0,7.57201
299319.0,8.30413
299394.0,10.0708
299410.0,10.1759
299438.0,9.82629
299496.0,8.25606
299546.0,7.39881
299622.0,6.84134
299854.0,6.29944
300537.0,5.48158
301432.0,4.85418
302800.0,4.33996
304810.0,3.93254
304935.0,3.92529
305083.0,3.98787
305142.0,4.20991
305194.0,4.54928
305199.0,4.5545
305236.0,4.36695
305290.0,4.02332
305387.0,3.8818
307644.0,3.62598
312625.0,3.40342
327426.0,3.18991
343770.0,3.13727
361011.0,3.26118
371827.0,3.53636
379227.0,3.96915
386172.0,4.68141
392775.0,5.40605
394142.0,5.43859
398126.0,5.27457
408259.0,4.0075
414970.0,3.46493
423180.0,3.23844
427696.0,3.46056
430580.0,3.76068
430980.0,3.7305
431220.0,3.73882
434652.0,3.4077
437664.0,3.21989
437924.0,3.21955
440912.0,3.32551
442318.0,3.51124
443899.0,3.93328
445305.0,4.57567
448117.0,6.46407
448679.0,6.59638
449734.0,6.27592
452194.0,4.66751
453565.0,4.0553
455674.0,3.52577
458486.0,3.15812
463582.0,2.83945
471666.0,2.62356
488185.0,2.39542
507800.0,2.12377
508169.0,2.174
508390.0,2.52084
508574.0,3.04614
508600.0,3.07111
508665.0,2.97601
508860.0,2.3988
509014.0,2.17494
509270.0,2.10028
519460.0,1.9251
525070.0,2.07206
526940.0,2.13766
529820.0,2.3746
534940.0,3.05385
539130.0,3.60366
542745.0,3.86185
548540.0,3.97265
562950.0,3.86374
563406.0,3.94762
563680.0,4.20306
563990.0,4.94488
564099.0,4.78938
564280.0,4.24481
564475.0,3.97377
564800.0,3.85065
565820.0,3.85449
566260.0,3.80125
569900.0,3.79806
581860.0,4.028
587580.0,4.30076
593600.0,4.7649
598190.0,4.9836
598790.0,5.0494
599260.0,5.29145
599740.0,5.98206
600308.0,5.10249
600602.0,4.90602
601410.0,4.74553
607370.0,4.33533
619460.0,4.05399
621670.0,4.07248
622560.0,4.06762
624590.0,4.12437
627110.0,4.49877
628980.0,4.12334
630360.0,4.08538
647785.0,4.623
665785.0,5.46515
681390.0,6.5679
682520.0,6.81832
683420.0,8.45221
684070.0,7.10148
684800.0,6.89247
701130.0,8.12878
710350.0,8.38432
718170.0,8.05992
728170.0,7.0934
745845.0,4.8199
747574.0,4.73461
747680.0,4.75242
748100.0,5.17237
748730.0,4.68104
750040.0,4.38738
757260.0,4.08626
758940.0,4.05514
763470.0,4.199
765150.0,4.91852
765660.0,5.38313
766160.0,5.51469
766750.0,5.8705
767000.0,5.95793
768850.0,5.86038
772455.0,6.2972
774640.0,6.52015
777910.0,6.65324
789500.0,6.17985
810160.0,4.85066
822755.0,4.31585
836605.0,3.9111
854155.0,3.5954
865740.0,3.53342
880350.0,3.63536
889425.0,4.0151
893390.0,4.26542
907520.0,5.54633
914120.0,5.4087
928680.0,4.18833
936410.0,3.69256
951090.0,3.06915
964630.0,2.85609
965768.0,2.94449
966336.0,3.33411
966450.0,3.4753
966662.0,4.21684
966790.0,4.39196
967130.0,4.64397
967842.0,4.3629
968270.0,3.83808
968498.0,3.17562
968725.0,3.04354
969180.0,2.87789
971220.0,2.83935
975150.0,2.96823
979190.0,3.30301
981235.0,3.48665
981920.0,3.51239
984420.0,3.50508
992610.0,2.91061
997620.0,2.73565
999440.0,2.76135
1001900.0,2.63538
1005600.0,2.66022
1009000.0,2.6338
1015450.0,2.73209
1020600.0,2.9172
1029000.0,3.21054
1031700.0,3.24082
1033500.0,3.23529
1035400.0,3.25688
1039300.0,3.21818
1044000.0,3.23781
1053600.0,3.5038
1057900.0,3.7263
1064250.0,4.07185
1069500.0,4.16769
1078400.0,3.85766
1085200.0,3.49806
1086600.0,3.37415
1087850.0,3.50031
1089100.0,3.77589
1090000.0,3.84951
1109600.0,3.29638
1111200.0,3.48977
1113100.0,3.24049
1127000.0,3.05485
1139500.0,2.90187
1141500.0,2.8938
1145600.0,2.99569
1152000.0,2.7687
1158300.0,2.64725
1159200.0,2.63901
1167800.0,2.75528
1172150.0,2.9023
1173500.0,2.92799
1180100.0,2.75075
1186800.0,2.57987
1192200.0,2.52655
1200600.0,2.57292
1210600.0,2.81738
1212800.0,3.07389
1214700.0,2.96841
1225200.0,3.10971
1229300.0,3.11846
1237700.0,2.9891
1244400.0,2.74237
1254500.0,2.51608
1265750.0,2.3878
1281750.0,2.30575
1290250.0,2.36958
1295900.0,2.44569
1301200.0,2.7031
1304800.0,3.06015
1306500.0,3.1422
1313150.0,3.698
1316200.0,3.79075
1321000.0,3.58295
1322000.0,3.84577
1323400.0,3.48574
1325300.0,3.28976
1331500.0,2.94045
1337000.0,2.6723
1347350.0,2.43975
1353050.0,2.36225
1354800.0,2.35481
1355300.0,2.35506
1366000.0,2.32059
1372200.0,2.22911
1380600.0,2.27699
1385000.0,2.33316
1387300.0,2.32501
1388900.0,2.61649
1390600.0,3.21034
1391100.0,3.53466
1392000.0,3.74918
1393650.0,3.25735
1394550.0,2.99042
1395600.0,2.7747
1397500.0,2.5989
1403900.0,2.43696
1411300.0,2.38198
1419400.0,2.38668
1426800.0,2.26044
1429400.0,2.55896
1431100.0,2.25231
1433500.0,2.21363
1438700.0,2.23535
1451100.0,2.20887
1455400.0,2.21262
1464000.0,2.19063
1470600.0,2.21826
1472800.0,2.29783
1481950.0,2.13114
1493100.0,1.96529
1495350.0,1.97035
1497600.0,2.13147
1500800.0,2.221
1515400.0,1.97605
1537000.0,1.91346
1540400.0,1.93337
1543800.0,2.03192
1549900.0,1.90051
1556980.0,1.9469
1560200.0,2.23851
1562500.0,1.97481
1566000.0,1.9725
1569500.0,1.97338
1575100.0,2.0639
1583780.0,2.35478
1587900.0,2.55989
