28-Ni-58(n,&gamma;) ENDF/B-VII.1
1.0E-5,213.005
1.30374E-5,186.55
1.71104E-5,162.839
2.22778E-5,142.71
2.92376E-5,124.572
3.80674E-5,109.173
4.996E-5,95.2972
6.50481E-5,83.517
8.53698E-5,72.9023
1.11152E-4,63.8905
1.45877E-4,55.7702
1.89932E-4,48.8763
2.49268E-4,42.6645
3.24548E-4,37.3907
4.2594E-4,32.6388
5.54575E-4,28.6043
7.2783E-4,24.9689
9.47636E-4,21.8825
0.00124369,19.1015
0.00161928,16.7403
0.00212517,14.6127
0.00276697,12.8063
0.0036314,11.1788
0.00472809,9.79698
0.0062052,8.55159
0.00807918,7.49448
0.0106032,6.54204
0.0138054,5.73227
0.0181183,5.00431
0.0244451,4.30909
0.0253,4.23537
0.033204,3.69576
0.0432317,3.24159
0.0567377,2.82722
0.0738726,2.47852
0.0969512,2.16421
0.126231,1.89464
0.165666,1.65346
0.215698,1.45004
0.283085,1.26477
0.368577,1.11119
0.483724,0.968182
0.629809,0.84853
0.826569,0.740288
1.07619,0.648913
1.41241,0.568061
1.83603,0.497197
2.40963,0.433424
3.13734,0.379667
4.11748,0.331599
5.49396,0.288008
6.89279,0.25662
9.01493,0.224028
13.0476,0.186226
17.1515,0.162409
23.5731,0.138626
32.4665,0.11782
42.6783,0.103052
56.1021,0.0896138
74.877,0.07723
105.431,0.0650632
139.6,0.056377
199.63,0.046845
262.91,0.0406831
331.547,0.0361439
416.843,0.0319489
547.955,0.0276098
720.305,0.023866
903.737,0.0210022
1197.65,0.0178473
1653.79,0.0148217
2150.82,0.0126792
2794.49,0.0107904
3547.33,0.00936626
4256.79,0.00839163
5348.55,0.00737366
6720.48,0.00664427
6735.88,0.00664396
6834.35,0.00675697
6862.46,0.00705472
6875.17,0.00754063
6881.91,0.00818103
6886.13,0.00897724
6889.5,0.0101485
6891.6,0.0114012
6893.48,0.0132315
6894.65,0.0150559
6895.53,0.0171657
6896.26,0.0199274
6896.86,0.0235221
6897.34,0.0279805
6897.75,0.0333704
6898.15,0.0410084
6898.56,0.0518334
6898.92,0.0653119
6899.29,0.0834829
6899.63,0.105843
6900.02,0.139377
6900.41,0.183299
6900.84,0.247555
6901.29,0.331585
6901.82,0.457306
6902.48,0.656253
6904.47,1.36799
6905.25,1.56315
6905.99,1.63415
6906.03,1.6343
6906.72,1.57824
6907.43,1.41444
6908.52,1.03817
6909.63,0.640017
6910.24,0.457166
6910.76,0.333257
6911.2,0.250288
6911.64,0.18544
6912.03,0.141062
6912.42,0.10714
6912.77,0.083797
6913.1,0.0671523
6913.46,0.0532025
6913.83,0.0429404
6914.19,0.0354355
6914.63,0.029049
6915.11,0.0243059
6915.62,0.0208541
6916.27,0.0180197
6917.18,0.0155283
6918.48,0.0133606
6920.07,0.011709
6921.85,0.010508
6924.7,0.00932148
6929.18,0.00831594
6936.63,0.00754242
6947.57,0.00708742
6958.51,0.00688109
6994.59,0.00664932
7390.22,0.00642923
8057.81,0.0063363
9183.7,0.00644808
10063.9,0.00688777
10592.3,0.00736069
11239.2,0.00824538
11715.1,0.00935208
12172.8,0.0109355
12518.5,0.0128367
12592.8,0.0135615
12611.5,0.0141202
12620.6,0.0149934
12625.2,0.0162476
12626.7,0.0172286
12628.0,0.0188556
12629.0,0.0212792
12629.6,0.0240337
12630.3,0.0283128
12630.9,0.0339194
12631.4,0.0409176
12631.9,0.0500926
12632.3,0.0622645
12632.8,0.0781204
12633.4,0.103024
12634.0,0.135417
12634.7,0.181272
12635.4,0.250578
12636.5,0.36435
12638.5,0.604366
12639.6,0.69571
12640.6,0.726002
12640.6,0.726025
12641.6,0.699981
12642.6,0.622577
12644.3,0.427146
12645.6,0.276982
12646.4,0.199937
12647.0,0.150334
12647.7,0.111346
12648.2,0.0856355
12648.8,0.0661338
12649.3,0.0516039
12649.9,0.0410269
12650.4,0.0342938
12650.9,0.0287664
12651.6,0.0241846
12652.3,0.0213179
12653.2,0.0190673
12654.5,0.0174585
12656.5,0.0163378
12660.4,0.0153604
12668.2,0.0146596
12686.2,0.0143494
12799.6,0.0152315
12945.4,0.0172857
13042.6,0.0196615
13103.4,0.0223361
13139.8,0.0250705
13164.1,0.0278983
13187.4,0.0320559
13205.1,0.0369523
13219.3,0.0428392
13231.7,0.0504761
13242.1,0.0598981
13250.9,0.0716109
13259.0,0.0870979
13265.9,0.106347
13271.7,0.130128
13276.7,0.158741
13281.0,0.193123
13284.9,0.237892
13288.4,0.294662
13291.5,0.364476
13294.4,0.455275
13296.7,0.560146
13298.9,0.701122
13300.8,0.870769
13302.4,1.06811
13304.0,1.34225
13305.5,1.69646
13306.7,2.10505
13308.0,2.66178
13309.4,3.46303
13310.8,4.5433
13313.0,6.72917
13315.3,8.85651
13316.8,9.83683
13318.0,10.0944
13319.4,9.76395
13321.1,8.57753
13324.9,4.80688
13326.5,3.60178
13327.8,2.76724
13329.2,2.14506
13330.4,1.72689
13331.9,1.36979
13333.5,1.0881
13335.2,0.874922
13337.1,0.7007
13339.1,0.575307
13341.6,0.460671
13344.4,0.368745
13347.5,0.29819
13351.1,0.239553
13355.1,0.194873
13359.3,0.160596
13364.2,0.132607
13369.9,0.109529
13376.0,0.0919636
13383.6,0.0766851
13392.4,0.0644865
13402.0,0.0554579
13412.7,0.0486012
13427.4,0.0423611
13447.6,0.0372593
13471.9,0.0339993
13500.3,0.0324134
13512.4,0.0322752
13536.7,0.0330202
13552.9,0.0345996
13569.1,0.0378692
13579.7,0.0418751
13587.3,0.0463384
13594.8,0.0536258
13600.4,0.0623053
13604.9,0.0732697
13608.7,0.0870482
13612.1,0.105127
13614.6,0.125644
13616.9,0.15204
13618.9,0.185808
13620.4,0.220285
13621.6,0.26408
13622.6,0.30971
13623.5,0.374414
13624.4,0.456767
13625.0,0.549104
13625.7,0.682322
13626.3,0.846178
13626.9,1.06889
13627.6,1.38064
13628.2,1.77857
13628.8,2.29872
13629.4,3.00089
13630.1,3.94837
13630.9,5.46245
13631.9,7.70484
13634.8,15.1977
13635.9,17.1645
13636.9,17.8455
13637.9,17.2116
13639.1,15.2509
13641.0,10.1494
13642.3,6.74071
13643.3,4.80405
13644.0,3.57466
13644.7,2.6903
13645.3,2.05233
13646.0,1.57657
13646.6,1.21879
13647.2,0.953597
13647.8,0.754821
13648.5,0.607529
13649.2,0.488343
13650.0,0.404699
13650.7,0.344471
13651.7,0.287271
13652.9,0.238011
13654.4,0.197318
13656.2,0.164201
13658.4,0.134735
13660.6,0.114152
13663.7,0.094398
13667.4,0.0787509
13672.0,0.0661762
13676.5,0.0579949
13682.4,0.0507389
13691.3,0.0442263
13700.5,0.0401987
13719.2,0.0360106
13744.6,0.0337999
13786.9,0.0327184
13871.6,0.0339255
14007.2,0.0381484
14176.5,0.0458882
14345.9,0.0567026
14515.3,0.0711527
14732.2,0.096135
15043.9,0.136969
15179.4,0.146863
15233.6,0.147858
15369.1,0.142219
15545.3,0.121901
15843.4,0.0813366
16023.0,0.0625528
16175.4,0.0504497
16344.8,0.0402753
16548.1,0.0315169
16751.4,0.0252942
16954.6,0.020778
17157.9,0.0175226
17191.8,0.0173349
17206.1,0.0178291
17211.4,0.0186377
17214.1,0.0198408
17215.5,0.0213406
17216.6,0.0238712
17217.5,0.027546
17218.3,0.032791
17218.9,0.0395352
17219.6,0.0491517
17220.3,0.0625415
17220.9,0.0797904
17221.6,0.105746
17222.4,0.142984
17223.3,0.194702
17224.3,0.273829
17227.1,0.509817
17228.3,0.586555
17229.4,0.618185
17229.6,0.618909
17230.8,0.595666
17232.0,0.527635
17234.0,0.355555
17235.4,0.234592
17236.4,0.171419
17237.2,0.128028
17237.8,0.0981209
17238.5,0.0750323
17239.2,0.0581299
17239.9,0.0460308
17240.5,0.0373404
17241.1,0.0318827
17241.8,0.0274689
17242.4,0.024461
17243.4,0.0216741
17244.4,0.0201151
17246.2,0.0187047
17249.9,0.0176329
17259.2,0.016694
17292.0,0.0159128
17405.1,0.0144658
17730.2,0.0115889
18077.6,0.00953327
18595.1,0.00749419
18900.8,0.00676082
18910.8,0.00675804
18954.9,0.00690573
18971.9,0.00722506
18982.7,0.00778128
18989.4,0.00857867
18993.4,0.00948417
18996.0,0.0105103
18998.0,0.0118122
18999.3,0.0133135
19000.3,0.0151894
19001.1,0.0176855
19001.8,0.0206953
19002.4,0.0250862
19003.0,0.0305568
19003.6,0.0381388
19004.1,0.0482136
19004.7,0.0622473
19005.3,0.0810431
19005.8,0.10583
19006.4,0.137944
19007.1,0.183381
19007.8,0.24961
19008.6,0.343335
19009.4,0.470733
19010.6,0.685008
19013.5,1.27923
19014.7,1.45956
19015.9,1.52505
19016.0,1.52521
19017.2,1.46719
19018.4,1.29743
19020.5,0.880475
19022.1,0.558931
19023.0,0.403558
19023.8,0.295545
19024.5,0.220132
19025.1,0.166742
19025.8,0.125079
19026.3,0.0973258
19026.9,0.0756981
19027.4,0.0578043
19028.0,0.0449258
19028.6,0.0354786
19029.2,0.0286223
19029.8,0.023683
19030.3,0.0201361
19031.0,0.0172831
19031.8,0.0149094
19032.9,0.0130217
19034.0,0.0117774
19035.7,0.010609
19039.0,0.00927775
19043.0,0.00839614
19048.3,0.00773375
19055.3,0.00725072
19069.3,0.00679359
19106.2,0.0063842
19253.6,0.00595212
19650.8,0.00539527
19730.3,0.00533813
19849.5,0.00552569
19897.3,0.00593543
19921.5,0.00644468
19937.7,0.00707256
19949.8,0.00785908
19959.4,0.00884255
19967.7,0.0101613
19974.6,0.0118556
19980.2,0.0139384
19985.3,0.0167679
19989.6,0.0203027
19992.9,0.0243611
19995.8,0.0293233
19998.3,0.0356249
20000.6,0.0435806
20002.4,0.0532302
20004.0,0.0649892
20005.0,0.0766139
20006.1,0.0931433
20007.0,0.114093
20007.9,0.141529
20008.6,0.173978
20009.3,0.218169
20010.1,0.27818
20010.8,0.358325
20011.5,0.469107
20012.3,0.614793
20013.1,0.826332
20014.0,1.12045
20015.0,1.54617
20016.4,2.27217
20019.0,3.74563
20020.3,4.30104
20021.6,4.55281
20021.9,4.55977
20023.1,4.40909
20024.3,3.96929
20026.3,2.91236
20028.2,1.8196
20029.3,1.30321
20030.3,0.950185
20031.0,0.732599
20031.8,0.556119
20032.5,0.425909
20033.2,0.334688
20033.9,0.264846
20034.6,0.211938
20035.3,0.167302
20036.0,0.136627
20036.9,0.11065
20037.8,0.0902743
20038.9,0.0746339
20040.2,0.0617144
20041.8,0.050683
20043.7,0.0416024
20046.0,0.0340084
20048.8,0.027711
20052.1,0.0226846
20056.0,0.0186167
20060.3,0.0155667
20065.1,0.0132302
20070.8,0.011309
20078.3,0.00965906
20087.3,0.00837359
20100.0,0.00726944
20115.1,0.00649496
20134.2,0.00592017
20164.4,0.0054524
20214.6,0.00505059
20314.7,0.00472336
20534.0,0.004478
20652.2,0.0044339
20800.0,0.00455615
20888.7,0.00486418
20933.1,0.00524049
20968.0,0.00574717
20996.9,0.00650525
21018.9,0.0074801
21036.5,0.00873879
21049.7,0.0101917
21061.3,0.0120929
21071.2,0.0144984
21079.7,0.0175285
21086.7,0.0211787
21093.3,0.0261037
21098.7,0.0318276
21103.7,0.0395225
21107.6,0.0480319
21111.4,0.0595228
21114.5,0.0730356
21117.3,0.0895314
21119.6,0.109146
21121.9,0.135872
21123.8,0.167603
21125.3,0.203271
21126.5,0.242403
21127.7,0.297341
21128.7,0.368266
21129.6,0.449884
21130.4,0.55855
21131.3,0.707239
21132.0,0.875931
21132.8,1.11572
21133.7,1.46417
21134.5,1.90134
21135.5,2.58315
21136.7,3.5971
21138.2,5.27674
21141.0,8.62302
21142.4,9.78325
21143.7,10.2527
21143.9,10.2593
21145.1,9.95127
21146.7,8.74952
21149.4,5.52
21151.1,3.68953
21152.2,2.68105
21153.2,1.98696
21154.1,1.51623
21154.9,1.15526
21155.8,0.89327
21156.6,0.695025
21157.5,0.549677
21158.3,0.443457
21159.3,0.354589
21160.4,0.287382
21161.4,0.239576
21162.8,0.19694
21164.3,0.161604
21166.2,0.131675
21168.2,0.109233
21170.5,0.0896019
21173.3,0.0730907
21176.4,0.0595631
21180.2,0.0480578
21184.1,0.0395357
21188.5,0.0326446
21193.5,0.026965
21199.2,0.0223775
21205.8,0.0185652
21214.3,0.0151742
21224.3,0.0124769
21235.0,0.0105442
21247.3,0.00901882
21263.6,0.00766779
21284.0,0.00659776
21311.0,0.00573323
21339.7,0.00517407
21390.9,0.00460448
21456.5,0.00421976
21573.1,0.00388578
21806.2,0.00359174
22272.4,0.00330709
23531.6,0.00288014
24623.7,0.00266018
24706.3,0.00270261
24728.3,0.00280591
24738.9,0.00298299
24744.1,0.00320685
