E(MeV)  pendfb7/O16:2
1e-11  55.6017657
1.02999e-11  54.7896624
1.06087e-11  53.9897687
1.09269e-11  53.2012866
1.12544e-11  52.4249008
1.1592e-11  51.65951
1.19395e-11  50.9057961
1.22976e-11  50.1627927
1.26662e-11  49.4311283
1.30462e-11  48.7097701
1.34372e-11  47.9996102
1.38403e-11  47.2993919
1.42552e-11  46.609992
1.46827e-11  45.930356
1.5124e-11  45.2593634
1.55773e-11  44.6000797
1.607e-11  43.9154239
1.6552e-11  43.2755604
1.71013e-11  42.5796309
1.76139e-11  41.9598685
1.81888e-11  41.2962041
1.87344e-11  40.6949715
1.9296e-11  40.1030003
1.99225e-11  39.4723846
2.05201e-11  38.8981081
2.11352e-11  38.3326945
2.17841e-11  37.7624159
2.24375e-11  37.213462
2.31101e-11  36.6729358
2.38033e-11  36.1400797
2.45168e-11  35.6154673
2.52522e-11  35.0982716
2.60091e-11  34.589087
2.67893e-11  34.0870967
2.75768e-11  33.6022263
2.8404e-11  33.1148703
2.9336e-11  32.5907501
3.02159e-11  32.1184386
3.11217e-11  31.6534019
3.20551e-11  31.1950231
3.3016e-11  30.7436825
3.40063e-11  30.2988132
3.50257e-11  29.8607975
3.60763e-11  29.4290377
3.71577e-11  29.003976
3.82722e-11  28.5849878
3.94195e-11  28.1724697
4.06018e-11  27.7658728
4.18189e-11  27.3655525
4.30733e-11  26.9709612
4.43644e-11  26.5825197
4.56951e-11  26.1996314
4.70649e-11  25.8226872
4.84765e-11  25.4511627
4.99297e-11  25.0853914
5.14273e-11  24.7248821
5.29689e-11  24.3699883
5.45576e-11  24.0202052
5.61931e-11  23.6758528
5.78785e-11  23.3364772
5.96135e-11  23.0023784
6.14016e-11  22.6731033
6.32422e-11  22.3489768
6.51391e-11  22.0295238
6.70917e-11  21.7150768
6.91041e-11  21.4051671
7.11755e-11  21.1001245
7.33104e-11  20.7994938
7.55079e-11  20.5035822
7.77728e-11  20.211959
8.01041e-11  19.9249283
8.25068e-11  19.6420609
8.498e-11  19.3636569
8.75289e-11  19.0893039
9.01527e-11  18.819277
9.28567e-11  18.553197
9.56402e-11  18.2913122
9.85089e-11  18.0332632
1.01462e-10  17.7793007
1.04505e-10  17.5290691
1.07638e-10  17.282794
1.10866e-10  17.0401658
1.1419e-10  16.8013575
1.17615e-10  16.5660642
1.21314e-10  16.3234555
1.24952e-10  16.0955459
1.29047e-10  15.8508507
1.32918e-10  15.6301847
1.36902e-10  15.4130989
1.41008e-10  15.1992319
1.45235e-10  14.988778
