E(MeV)  pendfb7/Pu239:102
1e-11  11753.9957
1.02999e-11  11581.6314
1.06087e-11  11411.8481
1.09269e-11  11244.4767
1.12544e-11  11079.6624
1.1592e-11  10917.1714
1.19395e-11  10757.1484
1.22976e-11  10599.3885
1.26662e-11  10444.0249
1.30462e-11  10290.8383
1.34372e-11  10140.0183
1.38403e-11  9991.29786
1.42552e-11  9844.86328
1.46827e-11  9700.49057
1.51229e-11  9558.30225
1.55765e-11  9418.11189
1.60434e-11  9280.08503
1.65246e-11  9143.98619
1.70199e-11  9009.96875
1.75304e-11  8877.84417
1.80559e-11  8747.71762
1.85975e-11  8619.43271
1.9155e-11  8493.10269
1.97295e-11  8368.55778
2.03209e-11  8245.90173
2.09305e-11  8124.96899
2.15579e-11  8005.89894
2.22045e-11  7888.49298
2.28701e-11  7772.88478
2.35561e-11  7658.89404
2.42622e-11  7546.65589
2.49899e-11  7435.99186
2.5739e-11  7327.01475
2.6511e-11  7219.57656
2.73057e-11  7113.76965
2.81247e-11  7009.46172
2.89678e-11  6906.73444
2.98367e-11  6805.45701
3.07311e-11  6705.72837
3.16528e-11  6607.40518
3.26017e-11  6510.576
3.35795e-11  6415.11542
3.45861e-11  6321.10696
3.56235e-11  6228.42378
3.66913e-11  6137.15585
3.77919e-11  6047.17088
3.89247e-11  5958.56211
4.00923e-11  5871.19613
4.12941e-11  5785.16982
4.25327e-11  5700.3484
4.38076e-11  5616.82762
4.51216e-11  5534.47956
4.64742e-11  5453.38858
4.78681e-11  5373.44081
4.9303e-11  5294.71001
5.07818e-11  5217.09142
5.23041e-11  5140.6534
5.38729e-11  5065.2941
5.54878e-11  4991.08426
5.71521e-11  4917.92097
5.88653e-11  4845.87204
6.0631e-11  4774.83699
6.24484e-11  4704.88997
6.43215e-11  4635.92723
6.62496e-11  4568.01498
6.82368e-11  4501.05872
7.02822e-11  4435.12759
7.23903e-11  4370.12335
7.45603e-11  4306.1118
7.67967e-11  4243.00052
7.90987e-11  4180.85497
8.14712e-11  4119.5846
8.39134e-11  4059.24779
8.64304e-11  3999.76079
8.90212e-11  3941.18408
9.16913e-11  3883.43221
9.44399e-11  3826.5608
9.72725e-11  3770.49208
1.00188e-10  3715.27787
1.03193e-10  3660.85086
1.06287e-10  3607.23816
1.09475e-10  3554.38628
1.12756e-10  3502.34736
1.16139e-10  3451.03143
1.1962e-10  3400.51389
1.23208e-10  3350.69827
1.26901e-10  3301.64888
1.30707e-10  3253.29312
1.34626e-10  3205.66602
1.38664e-10  3158.70953
1.4282e-10  3112.48152
1.47104e-10  3066.89845
1.51513e-10  3022.01403
1.56058e-10  2977.76161
1.60736e-10  2934.18459
1.65557e-10  2891.22425
1.7052e-10  2848.91654
1.75635e-10  2807.2042
1.80899e-10  2766.13542
1.86325e-10  2725.6458
1.91911e-10  2685.76899
1.97667e-10  2646.45733
2.03592e-10  2607.74709
2.09699e-10  2569.58178
2.15985e-10  2532.00162
2.22463e-10  2494.95155
2.29132e-10  2458.46646
2.36004e-10  2422.4988
2.43079e-10  2387.07741
2.5037e-10  2352.15704
2.57875e-10  2317.77216
2.6561e-10  2283.87083
2.73572e-10  2250.49022
2.81777e-10  2217.58094
2.90224e-10  2185.17286
2.98929e-10  2153.22333
3.0789e-10  2121.76304
3.17125e-10  2090.74565
3.26631e-10  2060.20544
3.36428e-10  2030.09499
3.46513e-10  2000.44632
3.56906e-10  1971.21632
3.67605e-10  1942.43351
3.78631e-10  1914.0571
3.89981e-10  1886.11638
4.01678e-10  1858.56977
4.13719e-10  1831.44576
4.26128e-10  1804.7046
4.38901e-10  1778.37395
4.52066e-10  1752.41541
4.65617e-10  1726.85462
4.79583e-10  1701.6557
4.93959e-10  1676.8428
5.08775e-10  1652.3814
5.24026e-10  1628.29484
5.39744e-10  1604.54947
5.55923e-10  1581.16837
5.72598e-10  1558.11842
5.89762e-10  1535.42227
6.07452e-10  1513.04738
6.25661e-10  1491.01659
6.44427e-10  1469.29789
6.63744e-10  1447.91259
6.83653e-10  1426.83072
7.04146e-10  1406.07265
7.25267e-10  1385.60891
7.47007e-10  1365.46026
7.69413e-10  1345.59772
7.92477e-10  1326.03999
8.16247e-10  1306.76056
8.40715e-10  1287.77743
8.65932e-10  1269.06415
8.91889e-10  1250.6392
9.18641e-10  1232.47596
9.46178e-10  1214.5929
9.74558e-10  1196.9641
1.003771e-09  1179.60707
1.033879e-09  1162.49711
1.064871e-09  1145.65121
1.096811e-09  1129.04509
1.129689e-09  1112.69567
1.163573e-09  1096.57922
1.198452e-09  1080.71172
1.234399e-09  1065.07077
1.271402e-09  1049.67148
1.309537e-09  1034.49204
1.348791e-09  1019.54786
1.389247e-09  1004.81731
1.430892e-09  990.314615
1.47381e-09  976.019708
1.517989e-09  961.946242
1.563521e-09  948.074326
1.610389e-09  934.418011
1.658691e-09  920.957488
