E(MeV)  pendfb7/Pu239:2
1e-11  31.1538368
1.02999e-11  30.7236058
1.06087e-11  30.300199
1.09269e-11  29.8831934
1.12544e-11  29.4729505
1.1592e-11  29.0688875
1.19395e-11  28.6713637
1.22976e-11  28.2798687
1.26662e-11  27.8947329
1.30462e-11  27.5154118
1.34372e-11  27.1423737
1.38403e-11  26.7749575
1.42552e-11  26.4136223
1.46827e-11  26.0578144
1.51229e-11  25.7078347
1.55765e-11  25.3632236
1.60434e-11  25.0243867
1.65246e-11  24.6907447
1.70921e-11  24.3161078
1.7679e-11  23.948417
1.82862e-11  23.5874236
1.89141e-11  23.2331963
1.95637e-11  22.8854708
2.02355e-11  22.544276
2.09305e-11  22.209394
2.16492e-11  21.8808666
2.23927e-11  21.5584674
2.31617e-11  21.2421688
2.39571e-11  20.9318669
2.47798e-11  20.6274722
2.56308e-11  20.328873
2.6511e-11  20.036006
2.74215e-11  19.7487536
2.83632e-11  19.4670739
2.93372e-11  19.1908725
3.03447e-11  18.9200417
3.13868e-11  18.6545144
3.24646e-11  18.3942314
3.35795e-11  18.1390727
3.47327e-11  17.888979
3.59255e-11  17.6438775
3.71592e-11  17.4037046
3.84353e-11  17.1683678
3.97553e-11  16.9377878
4.11205e-11  16.7119282
4.25327e-11  16.490678
4.39933e-11  16.2740012
4.55041e-11  16.0618087
4.70668e-11  15.854037
4.86831e-11  15.6506302
5.0355e-11  15.4515033
5.20843e-11  15.2566052
5.38729e-11  15.0658796
5.5723e-11  14.8792464
5.76366e-11  14.6966551
5.96159e-11  14.5180425
6.16632e-11  14.3433445
6.37809e-11  14.1724967
6.59712e-11  14.0054573
6.82368e-11  13.8421525
7.05801e-11  13.6825379
7.3004e-11  13.5265411
7.5511e-11  13.3741229
7.81042e-11  13.2252128
8.11274e-11  13.0618613
8.42691e-11  12.902734
8.75309e-11  12.7479046
9.09206e-11  12.5971512
9.44399e-11  12.4505399
9.80971e-11  12.3078598
1.01894e-10  12.1691679
1.0584e-10  12.0342673
1.09937e-10  11.9032003
1.14194e-10  11.7757898
1.18614e-10  11.6520582
1.23208e-10  11.5318354
1.27977e-10  11.4151711
1.32933e-10  11.3018668
1.38078e-10  11.1919763
1.43425e-10  11.0853235
1.49608e-10  10.9706069
1.56058e-10  10.8597584
1.62786e-10  10.7526938
1.69803e-10  10.649334
1.77123e-10  10.5495639
