94-Pu-239(n,total fission) ENDF/B-VII.1
1.0E-5,36568.3
1.31241E-5,31920.7
1.70876E-5,27974.7
2.2426E-5,24419.4
2.91987E-5,21400.9
3.83206E-5,18680.9
4.98935E-5,16371.8
6.54808E-5,14291.2
8.52562E-5,12525.0
1.11891E-4,10933.3
1.45682E-4,9582.0
1.91195E-4,8364.71
2.48937E-4,7331.1
3.26707E-4,6399.54
4.25373E-4,5608.95
5.58264E-4,4896.51
7.26861E-4,4292.09
9.53941E-4,3747.28
0.00124203,3284.72
0.00163006,2868.19
0.00212234,2514.76
0.00278538,2196.43
0.00362657,1926.66
0.00475955,1686.73
0.00619694,1480.33
0.00813293,1294.41
0.0105891,1138.92
0.0138972,996.762
0.0180942,877.78
0.0234661,778.137
0.0253,751.322
0.0361611,639.57
0.0474582,570.934
0.0617907,518.409
0.0810948,483.535
0.0996854,474.09
0.119177,485.008
0.14248,527.095
0.163374,599.313
0.182829,709.639
0.199482,854.54
0.214552,1046.73
0.227277,1274.51
0.24029,1591.95
0.255408,2087.17
0.280627,3031.05
0.287884,3199.54
0.295431,3258.26
0.304333,3156.83
0.317153,2751.78
0.341888,1759.55
0.35489,1354.25
0.366985,1070.02
0.37908,857.928
0.392687,682.732
0.407805,542.843
0.422622,443.627
0.440764,355.933
0.460116,289.334
0.481887,235.793
0.506077,193.348
0.535105,157.393
0.568971,128.221
0.604047,106.932
0.646379,88.7755
0.694759,74.1137
0.755234,61.3785
0.827804,50.932
0.912469,42.5998
1.02132,35.3727
1.13018,30.3517
1.27532,25.6598
1.45674,21.6459
1.67445,18.3511
1.94054,15.5867
2.23082,13.4696
2.61786,11.496
3.10166,9.82399
3.63384,8.5941
4.32507,7.58163
5.06716,7.03885
5.40033,6.97403
5.98338,7.23156
6.38942,7.91081
6.60807,8.62785
6.82671,9.85318
6.97247,11.1984
7.10001,13.034
7.19111,15.01
7.27492,17.6737
7.34676,21.0832
7.39726,24.5211
7.44827,29.4387
7.492,35.5384
7.53209,43.7034
7.56488,53.4767
7.59247,65.326
7.61434,78.5518
7.63516,96.2153
7.65338,118.052
7.669,144.013
7.68462,179.749
7.69919,225.244
7.71481,290.765
7.73121,381.112
7.75489,546.166
7.78165,738.843
7.79831,822.16
7.81309,850.533
7.82746,829.981
7.84245,761.957
7.86786,579.377
7.89389,382.963
7.91002,284.291
7.92408,217.252
7.93683,170.542
7.94959,135.035
7.96364,105.999
7.97822,84.0934
7.99358,67.3408
8.00997,54.3337
8.02715,44.3453
8.04589,36.2966
8.06776,29.4123
8.09223,23.8249
8.12138,19.0632
8.15313,15.3884
8.18957,12.4128
8.23018,10.097
8.27391,8.35651
8.32492,6.95478
8.37594,5.98984
8.44882,5.08128
8.53628,4.42491
8.6403,4.00038
8.71517,3.83983
8.86491,3.7387
9.03284,3.85112
9.24874,4.25423
9.44066,4.88877
9.62298,5.8432
9.75732,6.90936
9.87247,8.22187
9.97802,9.93028
10.0788,12.2731
10.1603,14.9691
10.2371,18.5229
10.3007,22.5977
10.3595,27.7642
10.4158,34.6255
10.4638,42.6771
10.5106,53.5121
10.5538,67.5018
10.5909,84.2286
10.6245,104.96
10.6569,132.533
10.6857,166.327
10.7133,210.754
10.7403,270.538
10.7643,342.144
10.7913,449.111
10.8209,602.145
10.8896,1017.15
10.9184,1125.32
10.9357,1146.53
10.9625,1108.37
10.9966,961.341
11.0599,608.946
11.0923,467.018
11.1229,367.355
11.1523,297.395
11.1829,244.279
11.2207,197.696
11.2639,161.21
11.3118,133.793
11.3598,115.143
11.4126,101.301
11.4654,92.4161
11.5181,87.468
11.5709,86.2679
11.6198,89.1474
11.6523,94.194
11.6849,103.492
11.7146,118.712
11.7381,139.081
11.7586,166.811
11.7772,203.355
11.7959,252.699
11.8313,374.03
11.857,455.494
11.8777,488.468
11.8819,489.877
11.9004,472.564
11.9177,423.952
11.9427,317.792
11.9696,197.627
11.9845,141.927
11.9975,102.762
12.0083,77.1662
12.0186,58.1424
12.0277,44.9388
12.0369,34.7016
12.0466,26.4839
12.0549,21.1269
12.0633,17.0473
12.0728,13.6169
12.0829,11.0193
12.0941,9.02815
12.1053,7.69372
12.1187,6.67221
12.1321,6.06402
12.1515,5.62754
12.1739,5.49029
12.2111,5.66486
12.4124,7.73669
12.6137,9.19637
13.0642,12.0131
13.2655,13.8387
13.4502,16.3175
13.6004,19.3952
13.7248,23.29
13.8136,27.4482
13.8914,32.7966
13.958,39.6533
14.0113,47.8838
14.0513,56.9367
14.0847,67.7922
14.1163,82.9434
14.1407,99.988
14.1635,122.342
14.1857,152.436
14.2113,199.241
14.2752,347.543
14.297,379.872
14.3126,387.01
14.3299,376.462
14.351,338.642
14.3812,253.365
14.4112,164.305
14.429,121.352
14.4423,96.3607
14.4556,78.0495
14.4667,67.916
14.4756,63.1294
14.4853,61.2668
14.4959,63.3253
14.5065,69.852
14.5171,81.2287
14.5282,99.0129
14.5399,124.902
14.5524,162.026
14.5658,213.424
14.5828,296.352
14.6065,440.039
14.6417,665.172
14.663,762.32
14.683,799.914
14.6866,800.326
14.7052,772.431
14.7245,698.422
14.7827,383.557
14.8027,297.289
14.8227,232.21
14.8402,190.806
14.8576,160.881
14.8776,136.967
14.8976,120.607
14.9261,105.524
14.964,94.1284
15.0115,87.4227
15.0494,85.5547
15.1134,86.7296
15.2252,96.2697
15.3531,109.529
15.441,113.164
15.5129,109.916
15.6088,97.3567
15.8195,59.8925
15.9214,45.8281
16.0088,36.7234
16.0962,29.8713
16.2011,23.8853
16.306,19.6508
16.4258,16.3017
16.5607,13.867
16.6955,12.4715
16.8079,11.984
16.8453,11.9608
16.954,12.3481
17.0626,13.6387
17.135,15.3042
17.2049,17.9677
17.2549,20.9353
17.3011,25.0298
17.3385,29.9583
17.3697,35.9437
17.3947,42.7813
17.4156,50.7391
17.4364,61.9075
17.4552,76.1305
17.4736,95.7296
17.4906,120.743
17.5067,152.502
17.5239,196.562
17.5447,265.234
17.5758,394.327
17.6119,547.348
17.6356,613.933
17.654,631.727
17.6765,607.569
17.699,538.985
17.7619,265.399
17.7819,194.389
17.7984,148.322
17.8137,115.015
17.8295,88.856
17.8438,70.9384
17.8586,56.9768
17.8758,45.0798
17.893,36.4812
17.9131,29.2674
17.936,23.4441
17.959,19.2681
17.9867,15.6127
18.0201,12.4809
18.0564,10.0739
18.0965,8.172
18.1395,6.70261
18.1911,5.43807
18.2513,4.39897
18.3163,3.60811
18.388,2.98838
18.4764,2.45426
18.5767,2.03874
18.6938,1.70927
18.8419,1.43465
19.0139,1.23148
19.1859,1.10051
19.44,0.98647
19.6942,0.933396
19.8549,0.923211
20.0961,0.941526
20.3372,1.00588
20.5783,1.13651
20.7591,1.30502
20.9198,1.53911
21.0605,1.84904
21.1743,2.21435
21.2748,2.66896
21.3752,3.31555
21.459,4.07935
21.5393,5.11188
21.6043,6.2791
21.6652,7.79077
21.7222,9.75843
21.7691,11.9924
21.8159,15.0783
21.8534,18.4791
21.8909,23.1639
21.9218,28.4885
21.9499,35.1537
21.977,44.1082
21.9991,54.2068
22.0212,68.0855
22.04,84.1039
22.058,104.626
22.0778,134.572
22.0966,172.162
22.1187,230.13
22.1428,311.411
22.1863,493.539
