E(MeV)  pendfb7/U238:2
1e-11  35.7571057
1.02999e-11  35.263191
1.06087e-11  34.7771088
1.09269e-11  34.2983738
1.12544e-11  33.8274008
1.1592e-11  33.3635209
1.19395e-11  32.9071466
1.22976e-11  32.4576918
1.26662e-11  32.0155359
1.30462e-11  31.5800538
1.34372e-11  31.1517831
1.38403e-11  30.7299648
1.42552e-11  30.3151262
1.46827e-11  29.9066314
1.51229e-11  29.504826
1.55765e-11  29.1091823
1.60434e-11  28.7201658
1.65246e-11  28.3371117
1.70921e-11  27.906989
1.7679e-11  27.4848385
1.82862e-11  27.0703748
1.89141e-11  26.6636767
1.95637e-11  26.264441
2.02355e-11  25.8727005
2.09305e-11  25.4882054
2.16492e-11  25.1110035
2.23927e-11  24.7408349
2.31617e-11  24.3776681
2.39571e-11  24.0213837
2.47798e-11  23.6718791
2.56308e-11  23.3290258
2.6511e-11  22.9927514
2.74215e-11  22.6629208
2.83632e-11  22.339486
2.93372e-11  22.0223386
3.03447e-11  21.7113549
3.13868e-11  21.4064579
3.24646e-11  21.1075798
3.35795e-11  20.8145828
3.47327e-11  20.5273987
3.59255e-11  20.2459442
3.71592e-11  19.9701461
3.84353e-11  19.6998983
3.97553e-11  19.4351098
4.11205e-11  19.1757389
4.25327e-11  18.9216582
4.39933e-11  18.6728262
4.55041e-11  18.4291409
4.70668e-11  18.1905293
4.86831e-11  17.9569272
5.0355e-11  17.7282373
5.20843e-11  17.5044009
5.38729e-11  17.2853532
5.5723e-11  17.0710025
5.76366e-11  16.8612908
5.96159e-11  16.6561457
6.16632e-11  16.4554934
6.37809e-11  16.2592603
6.59712e-11  16.0673985
6.82368e-11  15.8798231
7.05801e-11  15.6964832
7.3004e-11  15.517296
7.5511e-11  15.3422164
7.81042e-11  15.1711634
8.11274e-11  14.9835183
8.42691e-11  14.8007219
8.75309e-11  14.6228593
9.09206e-11  14.4496756
9.44399e-11  14.2812469
9.80971e-11  14.1173312
1.01894e-10  13.9579941
1.0584e-10  13.8030096
1.09937e-10  13.6524265
1.14194e-10  13.5060415
1.18614e-10  13.3638806
1.23208e-10  13.2257487
1.27977e-10  13.0917027
1.32933e-10  12.9615153
1.38078e-10  12.8352481
1.43425e-10  12.7126992
1.49608e-10  12.5808827
1.56058e-10  12.4535089
1.62786e-10  12.3304813
1.69803e-10  12.2117097
1.77123e-10  12.0970619
1.84759e-10  11.9864354
1.92724e-10  11.8797351
2.01032e-10  11.7768593
2.09699e-10  11.6776909
2.19662e-10  11.5728051
2.30103e-10  11.4721169
2.41036e-10  11.3755743
2.52492e-10  11.28297
2.64489e-10  11.1942395
2.7706e-10  11.109192
2.91454e-10  11.0205149
3.06596e-10  10.9359413
3.22524e-10  10.8553151
3.3928e-10  10.778473
3.58412e-10  10.6993356
3.78631e-10  10.6242422
3.99983e-10  10.5530576
4.22546e-10  10.4855515
4.48266e-10  10.4168031
4.75552e-10  10.3519294
5.06628e-10  10.2864995
5.39744e-10  10.2250233
5.75015e-10  10.1673041
6.15187e-10  10.1096031
6.58165e-10  10.055654
7.07131e-10  10.0021698
7.59726e-10  9.95239393
8.19692e-10  9.90342968
8.88141e-10  9.8556169
9.66366e-10  9.80926572
1.051482e-09  9.76666365
1.148923e-09  9.72563988
1.260715e-09  9.68638261
1.389247e-09  9.64905158
1.537346e-09  9.61377389
1.715653e-09  9.57937646
1.922723e-09  9.54743112
2.173089e-09  9.51692949
2.476832e-09  9.48819413
2.847013e-09  9.46145114
3.300202e-09  9.43686394
3.874311e-09  9.41395417
4.60629e-09  9.39299797
5.569708e-09  9.37377091
6.878319e-09  9.35622124
8.712249e-09  9.34040594
1.1414114e-08  9.32621544
1.5598546e-08  9.31368326
2.5268741e-08  9.29986159
2.53e-08  9.29983237
4.0933832e-08  9.28997455
7.7422841e-08  9.27900839
2.03526981e-07  9.25706414
8.87855898e-07  9.15164396
1.37433257e-06  9.06956607
1.86647465e-06  8.97727822
2.36473763e-06  8.87109969
2.83328738e-06  8.75541652
3.25621799e-06  8.63278495
3.639584e-06  8.50068874
3.95644792e-06  8.37059987
4.25107562e-06  8.22608556
4.49487621e-06  8.082949
4.67197664e-06  7.96106974
4.86292606e-06  7.80738208
5.00014081e-06  7.678641
5.14122729e-06  7.52570588
5.25002787e-06  7.38991247
5.3608751e-06  7.23148988
5.47379785e-06  7.04395071
5.55048261e-06  6.89781669
5.62824926e-06  6.73051749
5.7070978e-06  6.53699663
5.76448998e-06  6.37782633
5.81839371e-06  6.21160404
5.87229744e-06  6.0261535
5.9208601e-06  5.83957634
5.96675223e-06  5.64329548
6.01264435e-06  5.42418174
6.04323911e-06  5.26339409
6.07383386e-06  5.08914001
6.10442861e-06  4.89970388
6.13502336e-06  4.69309404
6.16561812e-06  4.46699935
6.18856419e-06  4.28305075
6.21151025e-06  4.08538362
6.23445631e-06  3.87260316
6.25740237e-06  3.64317773
6.28034844e-06  3.39546131
6.29564581e-06  3.21932688
6.31094319e-06  3.03384808
6.32624056e-06  2.83861491
6.34153794e-06  2.63332668
6.35683532e-06  2.41787386
6.3721327e-06  2.19246856
6.38513547e-06  1.99358448
6.40119771e-06  1.74015274
6.4321749e-06  1.24157786
6.44173576e-06  1.09207322
6.44747227e-06  1.005616
6.45320878e-06  0.922815375
6.457798e-06  0.860072042
6.46123991e-06  0.815582151
6.46468182e-06  0.773744335
6.46812373e-06  0.735036199
6.47156563e-06  0.700015134
6.47386024e-06  0.67903398
6.47615485e-06  0.660200529
6.47844946e-06  0.64376185
6.48074407e-06  0.629994556
6.48303868e-06  0.619209011
6.48495085e-06  0.612749275
6.48667181e-06  0.609098035
6.48839276e-06  0.607682332
6.49011372e-06  0.608700104
6.49183467e-06  0.612368574
6.49346002e-06  0.618481946
6.49489415e-06  0.626191602
6.49632828e-06  0.636243776
6.49776241e-06  0.648817108
6.49919654e-06  0.664105297
6.50063066e-06  0.682318326
6.50183534e-06  0.700044227
6.50304e-06  0.720139977
6.50424467e-06  0.742762233
6.50544933e-06  0.768078033
6.506654e-06  0.796267283
6.5078013e-06  0.825961266
6.50891993e-06  0.857760265
6.51003854e-06  0.892547205
6.51115717e-06  0.930511269
6.51227579e-06  0.971852013
6.51335616e-06  1.0151856
6.51436005e-06  1.05863336
6.51536394e-06  1.10532539
6.51636783e-06  1.15544713
6.51737172e-06  1.20919503
6.51837561e-06  1.26677715
6.51944643e-06  1.33267305
6.52042164e-06  1.39693848
6.52139685e-06  1.46549253
6.52242942e-06  1.54302011
6.52357672e-06  1.63548374
6.52472403e-06  1.73502835
6.52568012e-06  1.82372754
6.52682742e-06  1.93749005
6.52797472e-06  2.05974051
6.52912202e-06  2.19103861
6.53023108e-06  2.32712025
6.5313019e-06  2.46759553
6.53237271e-06  2.61754663
6.53344353e-06  2.77755261
6.53451434e-06  2.94821965
6.53558516e-06  3.13019461
6.53665598e-06  3.32415564
6.5377268e-06  3.53082
6.5388741e-06  3.76720161
6.54009789e-06  4.03748179
6.54132168e-06  4.3277236
6.54254547e-06  4.63926523
6.54350156e-06  4.89838988
6.54453413e-06  5.19463394
6.5455667e-06  5.50881343
6.54659927e-06  5.84190835
6.54763184e-06  6.19494401
6.54866441e-06  6.56899226
6.54981172e-06  7.01061314
6.55095902e-06  7.48116171
6.55210633e-06  7.98232904
6.55325363e-06  8.5158672
6.55440093e-06  9.08362064
6.55570121e-06  9.77086961
6.55707797e-06  10.5523864
6.55845473e-06  11.3928595
6.5598315e-06  12.2961068
6.56120826e-06  13.2661005
6.56258503e-06  14.3070137
6.56396179e-06  15.4231624
6.56533855e-06  16.619055
6.56671532e-06  17.8993682
6.56809208e-06  19.2689117
6.56946884e-06  20.7326769
6.57084561e-06  22.2958047
6.57222237e-06  23.9635385
6.57359914e-06  25.7412938
6.5749759e-06  27.6345488
6.57635266e-06  29.6489172
6.5778824e-06  32.0360743
6.57948863e-06  34.7196957
6.58109485e-06  37.593767
6.58270108e-06  40.6675369
6.5843073e-06  43.9501449
6.58591352e-06  47.450692
6.58751975e-06  51.1781234
6.58912598e-06  55.1411079
6.5907322e-06  59.3480019
6.59233842e-06  63.806826
6.59394464e-06  68.5251075
6.59555087e-06  73.5098487
6.5971571e-06  78.767345
6.59876332e-06  84.3031464
6.60036954e-06  90.1220366
6.60197577e-06  96.2278793
6.60358199e-06  102.6234
6.60572363e-06  111.604228
6.60786526e-06  121.103535
6.6100069e-06  131.117831
6.61214853e-06  141.638901
6.61429017e-06  152.65387
6.6164318e-06  164.14453
6.61964424e-06  182.219678
6.62300967e-06  202.133581
6.62637509e-06  222.898485
6.63096431e-06  252.245167
6.64167247e-06  322.155068
6.64610871e-06  350.081224
6.65023899e-06  374.622213
6.65391036e-06  394.77926
6.65758173e-06  412.973669
6.66119191e-06  428.605099
6.66467971e-06  441.29547
6.66743324e-06  449.488393
6.66957487e-06  454.68282
6.67202245e-06  459.311115
6.67447003e-06  462.510388
6.67667285e-06  464.150464
6.67912043e-06  464.589883
6.6822411e-06  463.053179
6.68465809e-06  460.27773
6.68741162e-06  455.483567
6.69031812e-06  448.620801
6.6933776e-06  439.522421
6.69643707e-06  428.659183
6.69949655e-06  416.212675
6.70255602e-06  402.381575
6.70714523e-06  379.501155
6.71173444e-06  354.714264
6.72703182e-06  267.380614
6.73162103e-06  242.118182
6.73468051e-06  225.959992
6.73773999e-06  210.464203
6.74079946e-06  195.706933
6.74385894e-06  181.744495
6.74691841e-06  168.614925
6.74997789e-06  156.339134
6.7522725e-06  147.696626
6.75433764e-06  140.330042
6.7569382e-06  131.601058
6.75953875e-06  123.469426
6.76213931e-06  115.91681
6.76473986e-06  108.921266
6.76734042e-06  102.457816
6.76994097e-06  96.4994127
6.77254152e-06  91.0174441
6.77460666e-06  86.9839882
6.77690127e-06  82.8147972
6.77919588e-06  78.9547457
6.78149048e-06  75.3836618
6.78378509e-06  72.0817629
6.78607969e-06  69.0299164
6.7883743e-06  66.2096477
6.79066891e-06  63.6033331
6.79372838e-06  60.4322452
6.79678786e-06  57.5746895
6.79984733e-06  54.9965819
6.80290681e-06  52.6668505
