92-U-238(n,total fission) ENDF/B-VII.1
1.0E-5,8.43755E-4
1.31241E-5,7.36516E-4
1.70876E-5,6.45468E-4
2.2426E-5,5.63434E-4
2.91987E-5,4.93784E-4
3.83206E-5,4.31022E-4
4.98935E-5,3.77742E-4
6.54808E-5,3.29732E-4
8.52562E-5,2.88978E-4
1.11891E-4,2.5225E-4
1.45682E-4,2.21067E-4
1.91195E-4,1.92977E-4
2.48937E-4,1.69124E-4
3.26707E-4,1.47625E-4
4.25373E-4,1.29378E-4
5.58264E-4,1.12934E-4
7.26861E-4,9.89808E-5
9.53941E-4,8.64022E-5
0.00124203,7.57202E-5
0.00163006,6.60987E-5
0.00212234,5.79317E-5
0.00278538,5.0572E-5
0.00362657,4.43308E-5
0.00475955,3.8774E-5
0.00619694,3.39874E-5
0.00813293,2.96673E-5
0.0105891,2.60424E-5
0.0138972,2.27136E-5
0.0180942,1.99065E-5
0.0234661,1.75228E-5
0.0253,1.68688E-5
0.033204,1.4717E-5
0.0432317,1.29406E-5
0.0567377,1.12869E-5
0.0738726,9.8951E-6
0.0969512,8.69671E-6
0.126231,7.61695E-6
0.165666,6.663E-6
0.215698,5.86864E-6
0.283085,5.15589E-6
0.368577,4.55294E-6
0.483724,4.04392E-6
0.578306,3.70281E-6
0.784967,3.2434E-6
1.10566,2.82524E-6
1.49567,2.52957E-6
2.06147,2.30675E-6
2.79747,2.19901E-6
2.98147,2.19502E-6
3.72897,2.2705E-6
4.35688,2.48702E-6
4.74098,2.74385E-6
5.05148,3.08309E-6
5.29298,3.49505E-6
5.5226,4.10816E-6
5.69446,4.82838E-6
5.82908,5.67593E-6
5.94687,6.77873E-6
6.04936,8.22671E-6
6.12279,9.74394E-6
6.19315,1.18391E-5
6.25205,1.43956E-5
6.30023,1.73939E-5
6.34307,2.12013E-5
6.37978,2.5871E-5
6.41114,3.15425E-5
6.43791,3.83819E-5
6.46239,4.72874E-5
6.48074,5.6695E-5
6.49604,6.74637E-5
6.5095,8.05285E-5
6.52174,9.72279E-5
6.53276,1.18787E-4
6.54132,1.4237E-4
6.5505,1.77796E-4
6.55876,2.22788E-4
6.5661,2.7737E-4
6.57345,3.50184E-4
6.58033,4.39374E-4
6.58859,5.79143E-4
6.597,7.64453E-4
6.60664,0.00103507
6.61827,0.00144072
6.6484,0.00262326
6.66174,0.00296882
6.67256,0.00306455
6.68279,0.00298224
6.69368,0.00272618
6.71051,0.00210552
6.73162,0.00126162
6.74294,8.92065E-4
6.75151,6.69515E-4
6.759,5.14761E-4
6.7665,3.9363E-4
6.77415,2.99492E-4
6.78103,2.35495E-4
6.78792,1.86985E-4
6.79556,1.46986E-4
6.80321,1.178E-4
6.81086,9.63553E-5
6.81912,7.92874E-5
6.8283,6.53882E-5
6.83931,5.33193E-5
6.85171,4.35498E-5
6.86547,3.56466E-5
6.88154,2.88981E-5
6.89989,2.32678E-5
6.92131,1.85033E-5
6.94578,1.45913E-5
6.97026,1.17471E-5
6.99856,9.3355E-6
7.02915,7.43535E-6
7.06357,5.88118E-6
7.10029,4.67627E-6
7.1385,3.75424E-6
7.18251,2.97688E-6
7.22679,2.40559E-6
7.27854,1.91965E-6
7.3346,1.5428E-6
7.38491,1.29601E-6
7.44241,1.08758E-6
7.51429,9.03328E-7
7.58099,7.8444E-7
7.67805,6.70449E-7
7.77649,6.01122E-7
7.91679,5.50328E-7
8.11229,5.3054E-7
8.41129,5.50298E-7
10.5844,8.62239E-7
12.8893,1.17339E-6
14.2632,1.43049E-6
15.2743,1.71213E-6
16.1409,2.07586E-6
16.7186,2.42086E-6
17.2964,2.92977E-6
17.7929,3.57396E-6
18.1724,4.30121E-6
18.5232,5.2786E-6
18.8222,6.50222E-6
19.058,7.89086E-6
19.2535,9.50136E-6
19.4398,1.16551E-5
19.6008,1.4293E-5
19.7422,1.75659E-5
19.8573,2.12678E-5
19.9672,2.61846E-5
20.0528,3.14402E-5
20.1379,3.85964E-5
20.2175,4.80002E-5
20.2876,5.97482E-5
20.3457,7.34709E-5
20.3993,9.11758E-5
20.4462,1.13038E-4
20.4853,1.38598E-4
20.5213,1.71671E-4
20.5502,2.08904E-4
20.5749,2.53657E-4
20.5955,3.06307E-4
20.6145,3.7576E-4
20.6309,4.63328E-4
20.6458,5.76621E-4
20.6589,7.18582E-4
20.6707,8.91391E-4
20.6822,0.00111867
20.6938,0.00142017
20.7053,0.00181551
20.717,0.00233592
20.7294,0.00303576
20.7446,0.00414297
20.7611,0.00566058
20.7834,0.00818117
20.8274,0.0135745
20.8484,0.0153788
20.8692,0.0160998
20.8713,0.0161048
20.8921,0.0154744
20.9144,0.0136115
20.9745,0.00635159
20.9935,0.00448346
21.0075,0.00338228
21.0198,0.0026052
21.0322,0.00199323
21.045,0.00150948
21.0573,0.0011589
21.0697,8.99123E-4
21.0814,7.16648E-4
21.0944,5.68977E-4
