E(MeV)  pendfb7/Zr90:102
1e-11  3.92106632
1.02999e-11  3.86356019
1.06087e-11  3.80691512
1.09269e-11  3.75107459
1.12544e-11  3.69608712
1.1592e-11  3.64187467
1.19395e-11  3.58848557
1.22976e-11  3.53585135
1.26662e-11  3.48401655
1.30462e-11  3.43290798
1.34372e-11  3.38258886
1.38403e-11  3.33297015
1.42552e-11  3.28411397
1.46827e-11  3.23594559
1.51229e-11  3.1885059
1.55765e-11  3.14173269
1.60434e-11  3.0956812
1.65246e-11  3.05027285
1.70199e-11  3.00555883
1.75304e-11  2.96147623
1.80559e-11  2.91806014
1.85975e-11  2.87525838
1.9155e-11  2.83310873
1.97295e-11  2.79155454
2.03209e-11  2.75063045
2.09305e-11  2.7102812
2.15579e-11  2.6705533
2.22045e-11  2.63138049
2.28701e-11  2.59280737
2.35561e-11  2.55477378
2.42622e-11  2.51732481
2.49899e-11  2.48040091
2.5739e-11  2.44403972
2.6511e-11  2.40819185
2.73057e-11  2.37288812
2.81247e-11  2.33808439
2.89678e-11  2.30380791
2.98367e-11  2.27001503
3.07311e-11  2.23673877
3.16528e-11  2.2039313
3.26017e-11  2.17162218
3.35795e-11  2.13976954
3.45861e-11  2.10840127
3.56235e-11  2.07747504
3.66913e-11  2.04702087
3.77919e-11  2.01699461
3.89247e-11  1.98742739
4.00923e-11  1.95827468
4.12941e-11  1.92956881
4.25327e-11  1.90126481
4.38076e-11  1.87339463
4.51216e-11  1.84591557
4.64742e-11  1.8188558
4.78681e-11  1.79217731
4.9303e-11  1.76590472
5.07818e-11  1.74000307
5.23041e-11  1.71449517
5.38729e-11  1.68934704
5.54878e-11  1.66458227
5.71521e-11  1.64016653
5.88653e-11  1.61612244
6.0631e-11  1.59241648
6.24484e-11  1.56907339
6.43215e-11  1.54605855
6.62496e-11  1.52339404
6.82368e-11  1.50104835
7.02822e-11  1.47904453
7.23903e-11  1.4573498
7.45603e-11  1.43598612
7.67967e-11  1.41492266
7.90987e-11  1.39418124
8.14712e-11  1.37373166
8.39134e-11  1.3535934
8.64304e-11  1.3337385
8.90212e-11  1.31418716
9.16913e-11  1.29491085
9.44399e-11  1.27592813
9.72725e-11  1.25721304
1.00188e-10  1.2387829
1.03193e-10  1.22061521
1.06287e-10  1.20271905
1.09475e-10  1.18507654
1.12756e-10  1.1677051
1.16139e-10  1.15057469
1.1962e-10  1.13371048
1.23208e-10  1.11708027
1.26901e-10  1.10070553
1.30707e-10  1.08456201
1.34626e-10  1.06866142
1.38664e-10  1.05298437
1.4282e-10  1.03755019
1.47104e-10  1.02233098
1.51513e-10  1.00734467
1.56058e-10  0.992569017
1.60736e-10  0.978018505
1.65557e-10  0.963673529
1.7052e-10  0.949546089
1.75635e-10  0.935617075
1.80899e-10  0.921902566
1.86325e-10  0.908381067
1.91911e-10  0.895063809
1.97667e-10  0.881934877
2.03592e-10  0.869006386
2.09699e-10  0.856259467
2.15985e-10  0.843707553
2.22463e-10  0.831332254
2.29132e-10  0.819145223
2.36004e-10  0.80713058
2.43079e-10  0.795297958
2.5037e-10  0.783632238
2.57875e-10  0.772144937
2.6561e-10  0.760818703
2.73572e-10  0.749665953
2.81777e-10  0.738670186
2.90224e-10  0.727841381
2.98929e-10  0.717165291
3.0789e-10  0.706652166
3.17125e-10  0.696286524
3.26631e-10  0.686079817
3.36428e-10  0.676016199
3.46513e-10  0.666106374
3.56906e-10  0.656335931
3.67605e-10  0.646714399
3.78631e-10  0.63722815
