40-Zr-90(n,elastic) ENDF/B-VII.1
1.0E-5,33.7978
1.31241E-5,29.606
1.77557E-5,25.5854
2.31179E-5,22.5561
3.03402E-5,19.8455
3.9503E-5,17.565
5.18442E-5,15.5342
6.75013E-5,13.836
8.85894E-5,12.3356
1.15344E-4,11.0933
1.6486E-4,9.70613
2.35633E-4,8.61122
3.36788E-4,7.76357
4.81368E-4,7.1222
7.55279E-4,6.54815
0.00129059,6.11514
0.00263652,5.80004
0.00769828,5.6012
0.0248899,5.52967
0.0253,5.52915
2375.59,5.13832
3026.18,4.79308
3333.34,4.37566
3489.44,3.92554
3580.08,3.45868
3640.51,2.96297
3685.83,2.40709
3717.3,1.86951
3741.85,1.32332
3762.62,0.764264
3779.3,0.29122
3784.15,0.169977
3787.07,0.106781
3789.18,0.0681132
3790.69,0.0448905
3791.83,0.0303911
3792.71,0.0210836
3793.4,0.0151019
3793.97,0.0111478
3794.47,0.00838921
3794.89,0.00664558
3795.22,0.00567598
3795.51,0.00512426
3795.83,0.00482071
3795.94,0.0047983
3796.2,0.00490981
3796.47,0.00529131
3796.8,0.00610588
3797.13,0.0073439
3797.49,0.0091948
3797.93,0.0121753
3798.42,0.0164503
3798.99,0.0227707
3799.63,0.0318555
3800.32,0.0440004
3801.14,0.0618162
3802.09,0.0874753
3803.16,0.123857
3804.29,0.171801
3805.55,0.237951
3806.93,0.328776
3808.44,0.453136
3810.02,0.61597
3811.72,0.837816
3813.42,1.11789
3815.3,1.51388
3817.19,2.02236
3819.08,2.67485
3820.97,3.51351
3822.86,4.59541
3824.75,5.99839
3826.63,7.82957
3828.52,10.2473
3830.22,13.1152
3831.92,16.8873
3833.62,21.9189
3835.13,27.8758
3836.67,36.0008
3838.09,46.0431
3839.35,57.9052
3840.61,73.655
3841.8,93.6522
3842.94,118.887
3844.07,152.49
3845.2,197.204
3846.33,255.832
3847.76,351.104
3850.34,550.774
3851.51,612.885
3852.4,631.591
3853.41,619.091
3854.87,550.864
3857.99,353.065
3859.62,274.116
3861.13,219.785
3862.83,175.491
3864.59,142.664
3866.41,118.067
3868.62,96.7176
3871.14,79.4768
3874.28,64.5462
3877.87,52.9396
3881.84,44.0877
3886.62,36.7273
3892.16,30.8741
3899.33,25.7539
3908.4,21.5216
3917.46,18.6873
3929.55,16.1303
3947.67,13.6804
3966.56,12.0732
3991.11,10.7246
4002.2,10.3808
4003.81,10.6787
4004.53,11.2495
4005.27,12.4682
4006.17,15.0202
4007.29,18.4618
4007.98,19.2859
4008.0,19.2861
4008.67,18.5076
4009.7,15.3321
4010.49,12.8598
4011.18,11.4212
4011.93,10.5601
4012.95,10.1157
4019.61,9.71661
4066.47,8.66362
4141.25,7.75646
4260.89,7.03248
4474.9,6.44214
4905.0,5.98106
6079.25,5.56343
6994.5,5.40596
7155.6,5.52434
7186.88,5.73245
7202.52,6.02486
7214.25,6.53894
7222.07,7.29223
7226.99,8.20132
7230.04,9.12151
7233.09,10.5768
7235.36,12.2935
7237.24,14.4579
7238.8,17.1617
7240.09,20.4528
7241.26,24.8788
7242.24,30.3574
7243.0,36.5119
7243.64,43.6046
7244.27,53.3282
7244.86,65.5841
7245.45,82.0821
7246.07,105.648
7246.7,136.51
7247.44,183.091
7249.5,336.86
7250.3,377.411
7251.0,389.928
7251.75,375.849
7252.56,333.016
7254.71,172.898
7255.46,128.546
7256.08,99.5789
7256.71,77.6519
7257.29,62.3723
7257.88,51.0332
7258.57,41.4356
7259.25,34.5588
7260.07,28.6721
7261.15,23.395
7262.22,19.7808
7263.51,16.7496
7265.27,13.9709
7267.38,11.8122
7269.77,10.2323
7272.9,8.91563
7276.65,7.93819
7281.11,7.222
7286.97,6.65735
7294.79,6.22892
7310.43,5.82219
7341.71,5.54091
7457.45,5.35026
8574.48,5.12624
8737.37,5.24303
8773.57,5.44655
8796.19,5.8341
8809.77,6.42872
8817.31,7.10412
8823.19,8.04807
8827.26,9.14026
8830.66,10.5766
8833.33,12.3182
8835.58,14.503
8837.5,17.2712
8838.95,20.2582
8840.46,24.6927
8841.69,29.8831
8842.88,37.0739
8843.95,46.3756
8844.87,57.4234
8845.89,73.9496
8846.91,95.8902
8848.42,137.503
8850.19,187.658
8851.22,206.21
8852.0,210.882
8852.78,206.291
8853.81,187.839
8856.98,99.038
8858.0,76.4863
8858.99,59.6538
8859.92,48.1096
8860.96,38.665
8862.14,31.0585
8863.35,25.6548
8864.67,21.464
8866.18,18.0746
8868.1,15.0932
8870.02,13.0352
8872.66,11.1072
8876.06,9.50914
8879.45,8.46953
8885.18,7.38669
8891.21,6.72148
8903.28,6.02507
8921.38,5.5754
8957.58,5.26123
9069.19,5.05502
9583.12,4.87122
